"API","API10","oper_alias","form_avg","Status","PerfLL","FirstProd","Oil_PkNorm_Perk_6mo"
"42383402110000","4238340211","SABLE","WFMP_B_LOWER","DUC",null,null,null
"42383402120000","4238340212","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402130000","4238340213","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402160000","4238340216","SEM","UNKNOWN","PERMIT",null,null,null
"42383402170100","4238340217","SABLE","UNKNOWN","DUC",null,null,null
"42383402180000","4238340218","SABLE","UNKNOWN","DUC",null,null,null
"42383402190000","4238340219","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402200000","4238340220","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402210000","4238340221","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402220000","4238340222","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402230000","4238340223","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402240000","4238340224","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402250000","4238340225","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402260000","4238340226","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402270000","4238340227","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402280000","4238340228","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402290000","4238340229","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402300000","4238340230","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402320000","4238340232","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402330000","4238340233","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402340000","4238340234","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402350000","4238340235","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402360000","4238340236","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402370000","4238340237","SABLE","UNKNOWN","DUC",null,null,null
"42383402380000","4238340238","SABLE","UNKNOWN","DUC",null,null,null
"42383402390000","4238340239","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402400000","4238340240","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402410000","4238340241","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402420000","4238340242","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402430000","4238340243","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402440000","4238340244","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402450000","4238340245","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402460000","4238340246","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402470000","4238340247","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402480000","4238340248","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402490000","4238340249","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402500000","4238340250","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402510000","4238340251","SABLE","UNKNOWN","PERMIT",null,null,null
"42383402520000","4238340252","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402530000","4238340253","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402540000","4238340254","CALLON","UNKNOWN","PERMIT",null,null,null
"42383402550000","4238340255","CALLON","UNKNOWN","DUC",null,null,null
"42383402550100","4238340255","CALLON","UNKNOWN","PERMIT",null,null,null
"42383402560000","4238340256","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402570000","4238340257","FDL","UNKNOWN","PERMIT",null,null,null
"42383402580000","4238340258","FDL","UNKNOWN","PERMIT",null,null,null
"42383402590000","4238340259","EP","UNKNOWN","PERMIT",null,null,null
"42383402600000","4238340260","EP","UNKNOWN","PERMIT",null,null,null
"42383402610000","4238340261","EP","UNKNOWN","PERMIT",null,null,null
"42383402620000","4238340262","EP","UNKNOWN","PERMIT",null,null,null
"42383402630000","4238340263","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402640000","4238340264","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402650000","4238340265","BOLD","UNKNOWN","PERMIT",null,null,null
"42383402660000","4238340266","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402670000","4238340267","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402680000","4238340268","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402690000","4238340269","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402700000","4238340270","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402710000","4238340271","FDL","UNKNOWN","PERMIT",null,null,null
"42383402720000","4238340272","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402730000","4238340273","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402740000","4238340274","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402750000","4238340275","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402760000","4238340276","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402770000","4238340277","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402780000","4238340278","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383402790000","4238340279","DRIFTWOOD","UNKNOWN","PERMIT",null,null,null
"42383402800000","4238340280","LAREDO","UNKNOWN","PERMIT",null,null,null
"42383402810000","4238340281","LAREDO","UNKNOWN","PERMIT",null,null,null
"42383402820000","4238340282","APACHE","UNKNOWN","PERMIT",null,null,null
"42383402840000","4238340284","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402850000","4238340285","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402860000","4238340286","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402870000","4238340287","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402880000","4238340288","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402890000","4238340289","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402900000","4238340290","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402910000","4238340291","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383402920000","4238340292","PIONEER","UNKNOWN","PERMIT",null,null,null
"42383723522016","4238372352","AMERICAN","UNKNOWN","PERMIT",null,null,null
"42383753432016","4238375343","OXY","UNKNOWN","PERMIT",null,null,null
"42383756522017","4238375652","LAREDO","UNKNOWN","PERMIT",null,null,null
"42383791742018","4238379174","SABLE","UNKNOWN","PERMIT",null,null,null
"42383791762018","4238379176","SABLE","UNKNOWN","PERMIT",null,null,null
"42383791772018","4238379177","SABLE","UNKNOWN","PERMIT",null,null,null
"42383791902018","4238379190","DISCOVERY","UNKNOWN","PERMIT",null,null,null
"42383791952018","4238379195","SABLE","UNKNOWN","PERMIT",null,null,null
"42383791962018","4238379196","SABLE","UNKNOWN","PERMIT",null,null,null
"42383791972018","4238379197","SABLE","UNKNOWN","PERMIT",null,null,null
"42383791982018","4238379198","SABLE","UNKNOWN","PERMIT",null,null,null
"42383792212018","4238379221","SABLE","UNKNOWN","PERMIT",null,null,null
"42461004610100","4246100461","CHEVRON","UNKNOWN","PRODUCING",null,6/1/1978,null
"42461009720100","4246100972","CHEVRON","UNKNOWN","PRODUCING",1453,1/1/1973,625
"42461010580200","4246101058","CHEVRON","UNKNOWN","PRODUCING",null,10/1/2003,null
"42461014900100","4246101490","XTO","STRAWN+","PRODUCING",null,1/1/1965,null
"42461016240100","4246101624","ENDEAVOR","STRAWN+","PRODUCING",50,1/1/1970,59600
"42461034550100","4246103455","XTO","STRAWN+","PRODUCING",null,1/1/1958,null
"42461042990100","4246104299","ENDEAVOR","UNKNOWN","PRODUCING",null,1/1/1965,null
"42461043060100","4246104306","EXXON","UNKNOWN","PRODUCING",null,1/1/1970,null
"42461304440100","4246130444","CHEVRON","UNKNOWN","PRODUCING",1759,5/1/1978,1210
"42461306130100","4246130613","CHEVRON","UNKNOWN","PRODUCING",null,5/1/1978,null
"42461318460100","4246131846","ENDEAVOR","STRAWN+","PRODUCING",1996,8/1/1982,1469
"42461321610100","4246132161","CHEVRON","UNKNOWN","PRODUCING",2027,9/1/1984,5700
"42461322460100","4246132246","CHEVRON","UNKNOWN","PRODUCING",913,11/1/1984,4427
"42461323990100","4246132399","CHEVRON","UNKNOWN","PRODUCING",1659,10/1/1985,4178
"42461326860100","4246132686","APACHE","STRAWN+","PRODUCING",null,2/1/1988,null
"42461329930200","4246132993","CHEVRON","UNKNOWN","PRODUCING",760,1/1/1997,27150
"42461331840200","4246133184","CHEVRON","UNKNOWN","PRODUCING",1449,3/1/1992,2898
"42461332800000","4246133280","OSBORN","STRAWN+","PRODUCING",306,7/1/1992,39284
"42461335750200","4246133575","EOG","STRAWN+","PRODUCING",4373,7/1/2002,7925
"42461336490100","4246133649","CHEVRON","UNKNOWN","PRODUCING",null,9/1/1996,null
"42461337530100","4246133753","PIONEER","SPBY_JO_MILL","PRODUCING",1098,8/1/2004,3275
"42461337660100","4246133766","PIONEER","SPBY_L_SILT","PRODUCING",1163,8/1/1997,6284
"42461338730100","4246133873","CHEVRON","UNKNOWN","STALE-PERMIT",null,null,null
"42461338730200","4246133873","CHEVRON","UNKNOWN","STALE-PERMIT",null,null,null
"42461338730300","4246133873","CHEVRON","UNKNOWN","PRODUCING",1675,4/1/1998,14990
"42461339680000","4246133968","APACHE","STRAWN+","PRODUCING",2698,4/1/1999,923
"42461340230000","4246134023","APACHE","STRAWN+","PRODUCING",2182,3/1/2000,1606
"42461340430000","4246134043","ENDEAVOR","STRAWN+","PRODUCING",3563,8/1/2000,1716
"42461340440000","4246134044","CHEVRON","STRAWN+","PRODUCING",3201,8/1/2000,8894
"42461340550100","4246134055","APACHE","STRAWN+","PRODUCING",407,8/1/2000,7511
"42461341130100","4246134113","ENDEAVOR","WFMP_B","PRODUCING",9104,3/1/2001,363
"42461341230100","4246134123","CHEVRON","STRAWN+","PRODUCING",3993,3/1/2001,8371
"42461341430000","4246134143","ENDEAVOR","STRAWN+","PRODUCING",3444,4/1/2001,3971
"42461341450000","4246134145","CAMBRIAN","STRAWN+","PRODUCING",3580,5/1/2001,487
"42461341550100","4246134155","PURE","UNKNOWN","PRODUCING",2517,5/1/2001,2653
"42461341580000","4246134158","EOG","STRAWN+","PRODUCING",3667,6/1/2001,10010
"42461341610001","4246134161","APACHE","UNKNOWN","PRODUCING",6126,2/1/2002,442
"42461341650000","4246134165","ENDEAVOR","STRAWN+","PRODUCING",6995,7/1/2001,1194
"42461341660000","4246134166","CHEVRON","STRAWN+","PRODUCING",4091,7/1/2001,9464
"42461341680000","4246134168","CHEVRON","STRAWN+","TA",2144,9/1/2001,3314
"42461341720000","4246134172","CAMBRIAN","STRAWN+","PRODUCING",3863,9/1/2001,1296
"42461341930200","4246134193","ARCO","UNKNOWN","PRODUCING",3657,9/1/2001,721
"42461341940100","4246134194","ENDEAVOR","WFMP_B","PRODUCING",10932,8/1/2001,648
"42461341960000","4246134196","ENDEAVOR","UNKNOWN","PRODUCING",6760,9/1/2001,3273
"42461342070100","4246134207","ARCO","UNKNOWN","STALE-PERMIT",null,null,null
"42461342130000","4246134213","COG","STRAWN+","PRODUCING",848,1/1/2002,28
